"Lawinencode","TEZCode","meanExpo","stdDevExpo","MinExpo","MaxExpo","meanSlope","stdDevSlope","MinSlope","MaxSlope","Altitude","hozCurvature","verCuvature","totCurvature","MaxRad1","MaxRad15","MaxRad29","MaxRad43","MaxRad57","MaxRad71","MaxRad85","MaxRad99","MaxRad113","MaxRad127","MaxRad310","MaxRad324","MaxRad338","MaxRad352","MaxSun1","MaxSun15","MaxSun29","MaxSun43","MaxSun57","MaxSun71","MaxSun85","MaxSun99","MaxSun113","MaxSun127","MaxSun310","MaxSun324","MaxSun338","MaxSun352","HorÜb1","HorÜb2"
70912203,70912203001,125.2591764172685,,,,43.5393,5.9687,25.2201,55.7018,2344.8784,,,,3221.7136,3569.8098,4221.9937,5164.5786,6446.7153,6724.9751,8553.25,8795.2539,9285.419900000001,10050.6104,4917.1978,4700.7368,3376.0798,3145.5154,3.1976,3.4783,4.1423,4.9684,5.9921,6.2727,8.1028,8.415000000000001,9.055300000000001,10,4.8142,4.7194,3.3241,3.0988,,
70912203,70912203002,122.5572431175614,,,,37.3054,5.7078,21.9953,47.9376,2265.7822,,,,2782.2476,3319.2126,4082.543,4885.4019,5845.6035,6618.1367,7930.9434,8898.9336,9336.0947,9777.0762,4681.2759,4077.2822,2830.7097,2776.5767,3,3.5468,4.3659,5,5.8087,6.4699,7.6175,8.920999999999999,9,9.5343,4.9938,4.3493,3,3,,
70912203,70912203003,93.61587214431452,,,,34.5118,5.8841,23.6521,57.4818,2357.8145,,,,1597.585,2160.0371,2731.0027,3404.9832,4734.8203,5085.1206,7027.5039,7490.939,8513.5771,9591.8428,3278.9934,2497.8152,1907.8613,1707.0394,2.4565,3.1902,3.9475,4.683,5.9475,5.9746,7.9239,7.9783,8.978300000000001,9.920299999999999,4.4167,3.5906,2.9112,2.625,,
70912203,70912203004,73.13666704526797,,,,34.5328,5.5097,25.6617,62.4592,2377.9978,,,,877.1553,1219.0721,2003.8021,2347.4849,3392.1672,3953.9373,5151.7373,6547.604,7444.1675,8682.588900000001,2493.0649,1519.3079,924.4045,866.9589999999999,1.9275,2.582,3.8774,4.1123,5.361,5.6632,6.696,7.8238,8.276300000000001,9.464600000000001,4.5337,2.9983,1.9413,1.9102,,
70912203,70912203005,50.1728829972138,,,,34.855,3.8607,27.9332,48.6266,2373.5015,,,,302.6263,415.5048,897.3858,1224.026,2092.6555,2718.7615,3549.2092,5136.1216,6112.2993,7627.1895,1232.7207,656.8143,350.5974,245.128,1.5596,1.8123,3.343,3.7978,5.343,5.7978,6.3827,7.9964,8.158799999999999,9.870000000000001,3.8773,2.6354,1.6606,1.2816,,
70912203,70912203006,87.79740183823419,,,,33.1278,4.4379,27.7977,61.7521,2433.0449,,,,740.5729,1141.3824,2180.9131,3141.4829,4039.7168,5104.5635,5703.686,7318.5273,8606.0625,9263.3125,2797.1616,1621.75,927.4073,746.9292,1.2112,1.7148,3.1137,4.2545,5.0957,5.9314,6.2112,7.662500000000001,8.7256,9.232900000000001,3.8339,2.3899,1.4477,1.2076,,
70912203,70912203007,38.28919258731506,,,,34.4339,5.0859,23.4152,52.0564,2388.417,,,,2.8513,58.6897,280.846,636.933,1209.4199,2169.6484,3115.6506,4253.3867,5871.8042,6853.8569,454.0212,122.8416,14.101,5.6829,0.0269,0.3623,1.2874,2.2605,3.3937,5.1243,6.1961,7.2575,8.8787,9.399699999999999,1.732,0.5958,0.1093,0.0509,,
70912203,70912203008,70.66707173847617,,,,36.1363,4.2352,29.1524,46.96,2471.9946,,,,25.2442,37.8276,629.3805,1625.3853,2810.6685,4441.8228,5483.1631,6762.7495,7876.0908,8439.123,1149.9667,190.6968,10.9248,0,0.0516,0.0679,1.1332,2.5299,4.269,6.5217,7.6875,8.9864,9.7745,9.9457,1.9212,0.4103,0.0163,0,,
70912203,70912203009,85.98130383024966,,,,37.2274,4.9103,27.6823,57.0106,2601.6899,,,,292.0931,282.3344,1065.3018,2434.4861,3883.8608,5560.4663,6560.4282,7959.4873,8770.0352,9198.874,1722.8882,532.6848,423.4809,86.97150000000001,0.381,0.4215,1.5303,3.3359,5.182,6.8663,7.7714,8.861599999999999,9.519399999999999,9.682700000000001,2.3857,0.7652,0.5599,0.1151,,
70912203,70912203010,11.16888202841312,,,,45.2913,3.8781,27.6469,55.3419,2694.521,,,,178.4415,192.6208,233.7311,320.0126,440.8601,686.8937,1068.0975,1941.8483,3479.446,4942.1089,273.77,208.0313,188.8136,175.9492,0.4583,0.4336,0.6334,0.8661,1.0844,1.6581,2.7456,5.7693,8.775499999999999,10.6128,0.7353,0.484,0.5067,0.3944,,
70912203,70912203011,33.22277797614589,,,,33.9837,5.758,22.3686,56.2365,2643.563,,,,0,0,1.3971,35.2189,294.0365,1470.099,3049.8218,4243.165,5857.7129,6719.5127,14.3965,0,0,0,0,0,0.0046,0.1101,0.7064,3.3601,6.2236,7.6021,9.303900000000001,9.642200000000001,0.0413,0,0,0,,
70912203,70912203012,359.768920843068,,,,39.1276,5.6217,27.8728,52.5556,2681.1501,,,,0,0,0,2.203,19.5843,238.8957,1174.4192,2460.9631,4085.7239,5341.9414,0.1257,0,0,0,0,0,0.0015,0.0286,0.1446,1.1491,4.3148,6.8027,9.037699999999999,10.2139,0.0045,0,0,0,,
70912203,70912203013,11.24039879515541,,,,40.6597,5.9552,21.6019,66.5129,2627.1724,,,,5.0659,5.2029,13.1553,28.5533,55.0185,160.8912,798.7551999999999,1939.6272,3640.0662,4837.8374,20.5628,8.1661,6.3536,3.2391,0.0547,0.045,0.0965,0.1551,0.2283,0.5675,2.6817,5.6342,8.480700000000001,9.639099999999999,0.127,0.0643,0.06510000000000001,0.033,,
70912203,70912203014,24.51791936576183,,,,40.5827,6.9402,25.0476,61.5853,2478.6819,,,,13.8811,24.198,79.6212,134.3174,287.8658,587.0717,1336.2236,2559.7258,4059.1343,5448.0439,121.5173,44.8549,17.4284,14.8558,0.08309999999999999,0.1333,0.3724,0.5046,0.7961,1.3736,3.1185,5.3964,7.7335,9.235799999999999,0.4852,0.2118,0.0979,0.09569999999999999,,
70912203,70912203015,56.35245189413652,,,,45.4417,6.7729,25.0285,65.6104,2570.9795,,,,648.2628,526.5861,1033.4573,1499.0699,1894.7837,2976.802,3949.8003,4537.7627,5846.0708,6945.0332,1247.5087,682.6922,749.7556,370.8062,1.38,0.9978,2.0067,2.7067,3.2067,4.6422,5.84,6.4756,7.7267,8.728899999999999,2.32,1.28,1.5578,0.7022,,
70912203,70912203016,99.50188060280588,,,,40.195,6.0073,20.2668,56.2633,2620.8655,,,,503.7785,761.0136,1698.3424,3234.1394,4385.4004,6089.8911,7100.4229,7655.25,8444.5303,9430.8799,2558.6099,1054.8507,654.7155,486.4864,0.6763,0.963,1.9588,3.6488,4.882,6.62,7.535,8.017799999999999,8.803800000000001,9.7997,2.8779,1.2853,0.8505,0.6653,,
70912203,70912203017,352.6067963409802,,,,34.6545,5.3581,27.1413,52.9522,2586.2102,,,,0,0,0,0,0,0.5548999999999999,622.4165,1849.5892,3199.2688,4478.3687,0,0,0,0,0,0,0,0,0,0.0073,1.9927,4.5277,6.395,7.7974,0,0,0,0,,
70912203,70912203018,77.23741601214461,,,,34.3692,4.2652,15.2024,43.6943,2465.4492,,,,0,0,617.6697,2059.6736,3467.8992,5033.5669,6148.0044,6746.0103,7633.3433,8142.6821,1401.2212,191.8824,0,0,0,0,1.1446,3.3434,4.8464,7.1566,8.1114,8.659599999999999,8.978899999999999,9.168699999999999,2.3283,0.4096,0,0,,
70912203,70912203019,47.28417543490147,,,,36.0851,7.5949,6.3009,63.1797,2448.124,,,,26.1027,90.02809999999999,672.4987,1372.2521,1911.8053,3006.5654,4038.76,4790.8652,5825.3989,6467.5957,901.1415,321.4023,1.2294,0,0.0564,0.344,2.203,3.8778,4.7199,6.5075,7.5545,7.8139,8.659800000000001,8.7989,2.5846,1.0338,0.0019,0,,
70912203,70912203020,52.99298858730819,,,,34.6825,4.1632,19.3993,49.4122,2515.532,,,,0,0,0,262.0527,1217.5864,3356.6172,4451.4688,5289.8125,6247.0229,7739.6992,81.1314,0,0,0,0,0,0,0.5667,2.795,6.5377,7.1025,7.9458,8.470000000000001,9.775600000000001,0.1315,0,0,0,,
70912203,70912203021,45.55426544049138,,,,35.2624,5.4014,21.0381,62.4152,2442.1909,,,,0,0,139.0267,749.3751999999999,1729.3073,2946.7021,4018.2593,4828.3911,5892.1143,6627.6182,486.7096,30.6556,0,0,0,0,0.4298,2.0835,4.27,6.4369,7.5417,8.0604,8.8544,9.200699999999999,1.2984,0.1066,0,0,,
70912203,70912203022,28.22187185450142,,,,34.5273,4.5771,22.7717,45.89,2484.1541,,,,0,0,0,60.7372,541.6721,1857.9397,3019.9207,3954.7874,5099.5542,6045.3198,14.3748,0,0,0,0,0,0,0.2918,2.0776,5.759,7.5944,8.0924,8.898300000000001,9.333299999999999,0.1017,0,0,0,,
70912203,70912203023,37.45501674484655,,,,44.2343,6.3437,30.253,57.8229,2663.4705,,,,0,0,0,12.0936,152.974,535.4074000000001,1559.7505,3333.3674,4751.5522,5778.5513,2.1616,0,0,0,0,0,0,0.031,0.4516,1.4942,3.5213,6.0291,7.5155,8.4322,0.0097,0,0,0,,
70912203,70912203024,348.5538294695001,,,,42.7096,3.3951,36.4323,53.2466,2730.2302,,,,0,0,0,0,0,16.6632,472.5898,1575.5823,2874.0598,4036.4036,0,0,0,0,0,0,0,0,0,0.0284,1.2872,5.039,7.2766,8.4291,0,0,0,0,,
70912203,70912203025,355.1983080585197,,,,35.3688,3.1615,28.7346,52.4244,2661.8718,,,,0,0,0,0,0,64.61150000000001,853.824,1810.2081,2825.9106,3848.4194,0,0,0,0,0,0,0,0,0,0.3599,3.1093,4.7107,5.7198,6.7039,0,0,0,0,,
70912203,70912203026,321.0950737517537,,,,42.6195,1.9248,38.2404,49.881,2749.4993,,,,0.9925,11.4389,46.156,227.6325,716.4837,1759.5515,3001.9587,4095.8142,5295.772,6293.6665,101.3311,19.2447,10.4508,4.7047,0.0069,0.0796,0.2734,0.9273,2.3633,4.7612,6.8512,7.6817,8.9481,9.342599999999999,0.5052,0.1315,0.0692,0.0277,,
70912203,70912203027,329.1462505893743,,,,37.0946,1.0454,34.5495,41.2858,2663.9905,,,,0,0,0,0,16.3939,764.2637999999999,1696.6307,2796.0906,3996.9033,5142.9429,0,0,0,0,0,0,0,0,0.0973,2.8638,4.9261,6.5097,7.6848,8.677,0,0,0,0,,
70912201,70912201028,338.0219607968193,,,,43.7981,6.812,32.8584,66.38330000000001,2666.177,,,,6.3924,20.6517,56.9747,154.9392,375.8344,792.6811,1500.3521,2382.3027,3295.3667,4150.876,103.9923,33.3741,17.0077,10.8324,0.06279999999999999,0.1518,0.2984,0.6335,1.212,2.2749,3.8665,5.1649,6.2592,7.0602,0.4581,0.199,0.1414,0.09950000000000001,,
70912201,70912201029,349.145208578705,,,,38.1705,9.353999999999999,20.4605,65.12909999999999,2498.3899,,,,0,0,0.4422,23.6832,117.5706,408.2799,1039.2814,2080.0488,3022.572,3905.6763,8.7043,0,0,0,0,0,0.0059,0.1929,0.6161,1.6594,3.2362,5.0787,6.126,6.8681,0.0886,0,0,0,,
70912201,70912201030,353.537065895789,,,,37.2565,6.3736,25.8274,65.35209999999999,2540.8801,,,,0.3432,0.9447,7.0143,45.6732,178.6513,633.4931,1421.9694,2459.6189,3585.0327,4709.0562,22.3071,3.0151,0.4613,0.2718,0.0025,0.0083,0.0432,0.1905,0.6571,2.5219,4.1022,5.4743,6.6552,7.6457,0.1117,0.0222,0.0038,0.0019,,
70912201,70912201031,7.341878711390706,,,,41.2239,6.501,31.2077,66.75360000000001,2551.0476,,,,0,0,0,7.1795,20.7683,110.5102,674.4266,1679.0815,2913.762,4159.7002,3.1502,0,0,0,0,0,0,0.0477,0.0864,0.3318,1.9273,4.2318,6.1523,7.6205,0.0205,0,0,0,,
70912201,70912201032,35.18607039805553,,,,36.6401,4.2933,18.7149,58.2811,2467.4983,,,,0,0,0,10.4273,323.4977,1143.9358,2332.5789,3514.1873,4690.2861,5808.5898,0,0,0,0,0,0,0,0.0131,0.6449,2.6056,5.0037,6.3065,7.271,8.1196,0,0,0,0,,
70912201,70912201033,293.0718336084775,,,,37.5857,6.811,18.1887,63.261,2485.6072,,,,468.8038,598.2834,891.4829999999999,1460.1587,2175.1714,3063.8142,4182.2222,5448.6636,6751.8262,7779.4302,1235.8685,788.1519,528.3337,433.7736,1.1786,1.4248,1.9234,2.7408,3.7065,4.7273,5.8766,6.9882,8.113200000000001,8.9087,2.4693,1.7442,1.2997,1.1313,,
70912201,70912201034,284.6201028614265,,,,37.1446,6.2281,12.2652,63.4933,2483.7009,,,,1046.825,1279.2145,1701.4229,2125.7395,2971.5142,4417.5093,5627.2197,6524.731,7871.9971,8486.614299999999,2152.1094,1612.0134,1096.6942,986.235,2.5218,2.9283,3.4824,3.8678,4.9494,6.557,7.5893,8.077400000000001,9.4459,9.73,4.135,3.4205,2.5724,2.4276,,
70912201,70912201035,272.5941704689299,,,,39.5375,7.3657,26.1561,65.03579999999999,2596.7524,,,,1339.1417,1260.7148,1627.3967,2590.425,3349.8257,4339.4727,5989.0459,7548.1475,8004.5278,8791.3174,1787.2742,1658.4182,1362.7528,1246.3739,1.9341,1.7546,2.1245,3.1538,3.7949,4.6227,6.1209,7.5788,7.8425,8.575100000000001,2.2308,2.2418,1.9231,1.8168,,
70912201,70912201036,262.2487767783693,,,,36.0891,7.2778,27.0079,66.0448,2580.9419,,,,2298.6611,2274.707,2792.47,3930.4436,4720.3628,5958.877,6982.564,8029.2837,8946.4082,9656.2822,3080.6409,2336.7214,2364.7986,2179.7268,3.17,3.0729,3.5749,4.7692,5.3806,6.4413,7.2955,8.279400000000001,9,9.5992,3.8907,3.081,3.1984,3.0607,,
70912202,70912202037,273.6387946067669,,,,35.9764,4.424,28.1771,55.6113,2586.7876,,,,1864.8656,2071.7717,2603.7456,3449.9302,5023.7173,5745.7813,6333.3438,7903.8262,8536.4648,9775.0352,3394.3794,2589.3208,2155.3142,1947.797,3.4495,3.6288,4.1679,4.9785,6.7576,6.9129,7.1515,8.6578,8.950799999999999,9.976000000000001,4.9975,4.2197,3.8283,3.5404,,
