Lawinencode;TEZCode;meanExpo;meanSlope;stdDevSlope;MinSlope;MaxSlope;Altitude
70912203;70912203001;125.2591764172685;43.5393;5.9687;25.2201;55.7018;2344.8784
70912203;70912203002;122.5572431175614;37.3054;5.7078;21.9953;47.9376;2265.7822
70912203;70912203003;93.61587214431452;34.5118;5.8841;23.6521;57.4818;2357.8145
70912203;70912203004;73.13666704526797;34.5328;5.5097;25.6617;62.4592;2377.9978
70912203;70912203005;50.1728829972138;34.855;3.8607;27.9332;48.6266;2373.5015
70912203;70912203006;87.79740183823419;33.1278;4.4379;27.7977;61.7521;2433.0449
70912203;70912203007;38.28919258731506;34.4339;5.0859;23.4152;52.0564;2388.417
70912203;70912203008;70.66707173847617;36.1363;4.2352;29.1524;46.96;2471.9946
70912203;70912203009;85.98130383024966;37.2274;4.9103;27.6823;57.0106;2601.6899
70912203;70912203010;11.16888202841312;45.2913;3.8781;27.6469;55.3419;2694.521
70912203;70912203011;33.22277797614589;33.9837;5.758;22.3686;56.2365;2643.563
70912203;70912203012;359.768920843068;39.1276;5.6217;27.8728;52.5556;2681.1501
70912203;70912203013;11.24039879515541;40.6597;5.9552;21.6019;66.5129;2627.1724
70912203;70912203014;24.51791936576183;40.5827;6.9402;25.0476;61.5853;2478.6819
70912203;70912203015;56.35245189413652;45.4417;6.7729;25.0285;65.6104;2570.9795
70912203;70912203016;99.50188060280588;40.195;6.0073;20.2668;56.2633;2620.8655
70912203;70912203017;352.6067963409802;34.6545;5.3581;27.1413;52.9522;2586.2102
70912203;70912203018;77.23741601214461;34.3692;4.2652;15.2024;43.6943;2465.4492
70912203;70912203019;47.28417543490147;36.0851;7.5949;6.3009;63.1797;2448.124
70912203;70912203020;52.99298858730819;34.6825;4.1632;19.3993;49.4122;2515.532
70912203;70912203021;45.55426544049138;35.2624;5.4014;21.0381;62.4152;2442.1909
70912203;70912203022;28.22187185450142;34.5273;4.5771;22.7717;45.89;2484.1541
70912203;70912203023;37.45501674484655;44.2343;6.3437;30.253;57.8229;2663.4705
70912203;70912203024;348.5538294695001;42.7096;3.3951;36.4323;53.2466;2730.2302
70912203;70912203025;355.1983080585197;35.3688;3.1615;28.7346;52.4244;2661.8718
70912203;70912203026;321.0950737517537;42.6195;1.9248;38.2404;49.881;2749.4993
70912203;70912203027;329.1462505893743;37.0946;1.0454;34.5495;41.2858;2663.9905
70912201;70912201028;338.0219607968193;43.7981;6.812;32.8584;66.38330000000001;2666.177
70912201;70912201029;349.145208578705;38.1705;9.353999999999999;20.4605;65.12909999999999;2498.3899
70912201;70912201030;353.537065895789;37.2565;6.3736;25.8274;65.35209999999999;2540.8801
70912201;70912201031;7.341878711390706;41.2239;6.501;31.2077;66.75360000000001;2551.0476
70912201;70912201032;35.18607039805553;36.6401;4.2933;18.7149;58.2811;2467.4983
70912201;70912201033;293.0718336084775;37.5857;6.811;18.1887;63.261;2485.6072
70912201;70912201034;284.6201028614265;37.1446;6.2281;12.2652;63.4933;2483.7009
70912201;70912201035;272.5941704689299;39.5375;7.3657;26.1561;65.03579999999999;2596.7524
70912201;70912201036;262.2487767783693;36.0891;7.2778;27.0079;66.0448;2580.9419
70912202;70912202037;273.6387946067669;35.9764;4.424;28.1771;55.6113;2586.7876
70912202;70912202038;304.5164231295712;35.6968;4.8977;8.878;68.1082;2620.949
70912202;70912202039;308.6737894269299;42.2739;6.1377;29.8873;58.8709;2740.9429
70912202;70912202040;280.360882747927;50.2104;5.9425;37.1641;71.7092;2764.1316
70912202;70912202041;291.9546183532087;43.0768;6.4218;32.2017;61.0843;2706.7212
70912202;70912202042;303.8425105917594;46.5584;7.0056;23.5592;70.51390000000001;2777.2588
70912202;70912202043;269.5314770321739;35.289;5.2904;24.349;60.3884;2554.8728
70912202;70912202044;237.5175569180474;34.1031;5.6527;17.045;54.0531;2527.6836
70912202;70912202045;250.6968583034133;34.6317;4.4164;24.9423;60.6721;2441.0264
70912202;70912202046;235.6672600671701;34.3679;5.0595;23.5952;55.2334;2397.4592
70912202;70912202047;253.0795108753033;35.6929;6.2388;24.1698;59.7741;2537.2998
70912202;70912202048;238.3159869858458;36.091;5.5625;26.3558;58.1348;2368.8892
70912101;70912101097;303.0809999028382;42.996;5.3567;29.8174;52.4321;2564.4082
70912101;70912101098;14.61815928571099;35.9763;3.8059;24.8003;43.0834;2577.7954
70912101;70912101099;337.4989233350897;33.7479;2.9617;24.2537;43.7738;2565.7085
70912101;70912101100;285.8379592641352;34.2399;3.078;22.757;43.9869;2474.7268
70912101;70912101101;331.4182494675453;37.6264;5.6322;21.486;55.7797;2491.8784
70912101;70912101102;313.2275914112217;33.7636;3.9224;23.6976;46.8283;2513.0647
70912101;70912101103;349.297774965545;37.4899;4.0159;29.8491;52.2142;2451.6865
70912101;70912101104;312.8107358938429;33.2566;4.2893;20.1949;48.3572;2448.054
70912106;70912106105;253.3553812707723;42.6171;5.2543;28.5999;62.7854;2756.1687
70912106;70912106106;295.7787980010315;45.1086;4.9791;32.8316;60.1198;2759.489
70912106;70912106107;192.9655786495786;47.5359;3.5482;27.8321;52.4955;2638.2996
70912106;70912106108;280.7962798574259;41.3248;5.8199;25.2051;57.5014;2571.5591
70912106;70912106109;281.4138770163518;42.0171;5.74;22.0713;57.7462;2638.7756
70912106;70912106110;211.095071335769;45.2189;4.814;30.8694;54.941;2482.5054
70912106;70912106111;295.300988223477;44.1489;3.4051;30.8689;53.1748;2488.438
70912104;70912104112;268.1031330062748;39.0358;4.1028;28.0131;52.3793;2616.5696
70912104;70912104113;260.4148121773638;39.4426;3.855;27.9935;48.8285;2494.0203
70912104;70912104114;230.8780925407588;36.7374;3.8334;25.1498;47.4951;2493.178
70912102;70912102115;199.082195009835;42.2948;5.9852;25.4207;58.8407;2427.6887
