Datum,Intervall,Lawinengrad,Schneehöhe,Schneehöhe_Norm,Niederschlag,Lufttemperatur_7h,Lufttemperatur_7h_Norm,Lufttemperatur_7h_Gew,Lufttemperatur_14h,Lufttemperatur_14h_Norm,Lufttemperatur_14h_Gew,Lufttemperatur_19h,Lufttemperatur_19h_Norm,Lufttemperatur_19h_Gew,Schneetemperatur,Schneetemperatur_Norm,Schneetemperatur_Gew,Windrichtung,Windrichtung_Norm,Windrichtung_Gew,Windstärke,Windstärke_Norm,Windstärke_Gew,Einsinktiefe,Einsinktiefe_Norm,Einsinktiefe_Gew,Wetter_akt,Wetter_gestern,Wolken,Wolken_Norm,Neuschnee_x,Neuschnee_Norm,Neuschnee_Gew,Lawinenabgänge,Distanz,ZEIT,Lawinen_Art,Volumen,ID,meanExpo,meanSlope,stdDevSlope,MinSlope,MaxSlope,Altitude,Avalanche
2021-12-23 00:00:00,2021/ 2022,22.0,62.0,96.2789334895986,0.0,0.0,0.0,-24.0,2.8,22.4,-5.6,1.8,14.4,-6.4,-10.0,-100.0,-70.0,225.0,-2.262741699768083,5.656854249593422,3.2,-8.145870119372958,-20.36467529780882,15.0,150.0,65.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,,,,,,100.90372187786215,46.2365,9.0208625,13.071087499999999,66.32780000000001,1472.435275,0
2021-12-22 00:00:00,2021/ 2022,22.0,62.0,101.9547005895129,0.0,-6.0,-48.0,-28.0,-1.4,-11.2,-4.0,-1.6,-12.8,-24.0,-14.0,-140.0,-95.0,315.0,5.656854249593422,-1.414213562355052,8.0,-20.36467529780882,-5.091168824608098,13.0,130.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,279.7382271735702,39.6356,8.306790000000001,5.107609999999999,63.33960999999999,3027.45095,0
2021-12-21 00:00:00,2021/ 2022,22.0,62.0,102.6049647563592,0.0,-7.0,-56.0,-36.0,-1.0,-8.0,-16.0,-6.0,-48.0,-32.0,-19.0,-190.0,-30.0,225.0,-1.414213562355052,-1.888344585137137e-11,2.0,-5.091168824608098,13.32,13.0,130.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,232.7191915605427,37.897099999999995,6.44835,12.26605,59.39425,2155.53295,0
2021-12-20 00:00:00,2021/ 2022,22.0,62.0,102.9126213592233,0.0,-9.0,-72.0,-8.0,-4.0,-32.0,5.6,-8.0,-64.0,5.6,-6.0,-60.0,-55.0,90.0,-1.888344585137137e-11,-2.757759995199454,3.7,13.32,-8.3305274216614,13.0,130.0,0.0,2.0,0.0,9.0,90.0,0.0,0.0,0.0,0.0,,,,,,267.16920015661407,43.175287499999996,6.860250000000001,11.51305,65.9765,2978.152008333334,0
2021-12-19 00:00:00,2021/ 2022,22.0,65.0,112.449118046133,0.0,-2.0,-16.0,-16.0,1.4,11.2,8.0,1.4,11.2,-8.0,-11.0,-110.0,-75.0,220.0,-2.757759995199454,-1.7,3.6,-8.3305274216614,-6.246848032994204e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,103.16011422051332,42.24281818181817,7.576309090909091,8.488518181818181,64.56995454545455,2336.0986545454543,0
2021-12-18 00:00:00,2021/ 2022,22.0,66.0,112.9979035639413,0.0,-4.0,-32.0,-12.0,2.0,16.0,-4.0,-2.0,-16.0,-12.0,-15.0,-150.0,-60.0,180.0,-1.7,-3.2,1.7,-6.246848032994204e-11,-1.1758772767989089e-10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,1899-12-30 18:15:00,Gleitschneelawine,mittel,18.0,244.23490345925012,36.92165,4.456625000000001,13.363050000000001,52.8433,2423.3851250000002,1
2021-12-17 00:00:00,2021/ 2022,22.0,67.0,108.7588772404464,0.0,-3.0,-24.0,4.0,-1.0,-8.0,8.0,-3.0,-24.0,-8.0,-12.0,-120.0,-45.0,180.0,-3.2,-3.0,3.2,-1.1758772767989089e-10,-1.1023849469989769e-10,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,1899-12-30 15:30:00,Gleitschneelawine,klein,18.0,244.23490345925012,36.92165,4.456625000000001,13.363050000000001,52.8433,2423.3851250000002,1
2021-12-17 00:00:00,2021/ 2022,22.0,67.0,108.7588772404464,0.0,-3.0,-24.0,4.0,-1.0,-8.0,8.0,-3.0,-24.0,-8.0,-12.0,-120.0,-45.0,180.0,-3.2,-3.0,3.2,-1.1758772767989089e-10,-1.1023849469989769e-10,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,1899-12-30 15:20:00,Schneebrettlawine trocken,klein,10.0,267.16920015661407,43.175287499999996,6.860250000000001,11.51305,65.9765,2978.152008333334,1
2021-12-17 00:00:00,2021/ 2022,22.0,67.0,108.7588772404464,0.0,-3.0,-24.0,4.0,-1.0,-8.0,8.0,-3.0,-24.0,-8.0,-12.0,-120.0,-45.0,180.0,-3.2,-3.0,3.2,-1.1758772767989089e-10,-1.1023849469989769e-10,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,1899-12-30 12:30:00,Gleitschneelawine,klein,8.0,260.46868802414093,42.6599,7.696246428571428,7.606199999999999,65.80953392857143,3022.7729089285713,1
2021-12-16 00:00:00,2021/ 2022,22.0,67.0,109.27624872579,0.0,1.0,8.0,4.0,2.0,16.0,8.0,-2.0,-16.0,-4.0,-9.0,-90.0,-15.0,180.0,-3.0,4.5930707723513056e-11,3.0,-1.1023849469989769e-10,-10.8,12.0,120.0,70.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,,1899-12-30 20:30:00,Gleitschneelawine,klein,10.0,267.16920015661407,43.175287499999996,6.860250000000001,11.51305,65.9765,2978.152008333334,1
