DATUM,ZEIT,Lawinen_Art,GRNR,Volumen,Wetter,WIND_RCHTG,WIND_GSCHW,Temperatur,Schneehoehe,Neuschnee,Gefahr,Bemerkung,C
0208-01-22 00:00:00,,Schneebrettlawine trocken,43.0,mittel,Schneefall mäßig,135,5.0,-3.0,152.0,20.0,4.0,,
0208-01-24 00:00:00,,Schneebrettlawine trocken,14.0,klein,wolkenlos,225,3.0,4.0,156.0,0.0,3.0,,
1944-01-04 00:00:00,1899-12-30 16:00:00,Schneebrettlawine trocken,15.0,,,,0.0,0.0,0.0,0.0,0.0,,
1944-12-28 00:00:00,1899-12-30 10:30:00,Schneebrettlawine trocken,7.0,,,,0.0,0.0,0.0,0.0,0.0,,
1945-03-08 00:00:00,1899-12-30 22:00:00,Staublawine,25.0,,,,0.0,0.0,0.0,0.0,0.0,,
1948-04-15 00:00:00,1899-12-30 00:00:00,Schneebrettlawine trocken,20.0,,,,,,,,,,
1948-07-07 00:00:00,1899-12-30 16:10:00,Schneebrettlawine trocken,19.0,,,,0.0,0.0,0.0,0.0,0.0,,
1950-02-06 00:00:00,1899-12-30 04:20:00,Schneebrettlawine trocken,6.0,50,,S,0.0,0.0,0.0,0.0,0.0,,
1950-04-22 00:00:00,1899-12-30 14:45:00,Grundlawine,25.0,,wolkenlos,,,,,,,,
1950-04-26 00:00:00,1899-12-30 00:00:00,Schneebrettlawine trocken,2.0,,,,0.0,0.0,0.0,0.0,0.0,,
1955-01-01 00:00:00,1999-06-01 00:00:00,,43.0,,,,,,,,,,
1955-04-11 00:00:00,1899-12-30 00:00:00,Lockerschneelawine trocken,11.0,,Schneefall schwach,,0.0,-2.0,447.0,10.0,0.0,,
1955-04-12 00:00:00,1899-12-30 09:30:00,Staublawine,25.0,,,,,,,,,,
1955-12-05 00:00:00,1899-12-30 16:00:00,Schneebrettlawine trocken,11.0,50000,heiter,,,-7.0,20.0,,,,
1956-05-12 00:00:00,1899-12-30 11:00:00,Grundlawine,25.0,,wolkenlos,S,4.0,-4.0,100.0,8.0,,,
1956-05-24 00:00:00,1899-12-30 11:35:00,Schneebrettlawine naß,11.0,mächtig,heiter,SW,3.0,5.0,,,,,
1957-02-02 00:00:00,1899-12-30 13:00:00,Schneebrettlawine trocken,19.0,,heiter,,,3.0,165.0,,,,
1957-02-03 00:00:00,1899-12-30 00:00:00,Schneebrettlawine trocken,15.0,,heiter,S,2.0,7.0,162.0,,,,
1957-02-03 00:00:00,1899-12-30 00:00:00,Schneebrettlawine naß,21.0,,heiter,S,2.0,7.0,162.0,0.0,0.0,,
1957-02-25 00:00:00,1899-12-30 00:00:00,Grundlawine,22.0,groß,Schneefall schwach,SW,2.0,1.0,290.0,50.0,,,
1957-02-25 00:00:00,1899-12-30 00:00:00,Lockerschneelawine naß,25.0,,Schneefall schwach,SW,2.0,1.0,290.0,50.0,,,
1957-02-27 00:00:00,1899-12-30 00:00:00,Grundlawine,43.0,,Schneefall schwach,S,2.0,-5.0,280.0,4.0,0.0,,
1957-03-15 00:00:00,1899-12-30 00:00:00,Grundlawine,25.0,,bewölkt,NE,2.0,1.0,253.0,,,,
1957-03-31 00:00:00,1899-12-30 00:00:00,Schneebrettlawine trocken,6.0,,bewölkt,,,-5.0,249.0,8.0,,,
1957-04-05 00:00:00,1899-12-30 00:00:00,Grundlawine,25.0,,heiter,0,,-3.0,263.0,,,,
1957-04-06 00:00:00,1899-12-30 00:00:00,Grundlawine,22.0,groß,heiter,W,1.0,3.0,240.0,0.0,,,
1957-04-23 00:00:00,1899-12-30 00:00:00,Grundlawine,15.0,,heiter,S,2.0,-2.0,270.0,,,,
1957-04-30 00:00:00,1899-12-30 00:00:00,Grundlawine,15.0,,bewölkt,S,1.0,2.0,235.0,,,,
1958-01-10 00:00:00,1899-12-30 00:00:00,Schneebrettlawine trocken,15.0,,Schneetreiben,NE,3.0,-8.0,114.0,14.0,,,
1958-02-12 00:00:00,1899-12-30 00:00:00,Schneebrettlawine trocken,4.0,,heiter,SW,2.0,-3.0,88.0,2.0,0.0,,
1958-05-07 00:00:00,1899-12-30 00:00:00,Schneebrettlawine naß,19.0,,Regen,S,2.0,2.0,134.0,,,,
1958-05-08 00:00:00,1899-12-30 00:00:00,Grundlawine,15.0,,heiter,S,2.0,-9.0,130.0,,,,
1959-02-12 00:00:00,1899-12-30 00:00:00,Schneebrettlawine trocken,4.0,,wolkenlos,SE,1.0,-9.0,118.0,,,,
1959-02-25 00:00:00,1899-12-30 00:00:00,Lockerschneelawine trocken,4.0,,wolkenlos,S,1.0,-3.0,162.0,,,,
1959-03-10 00:00:00,1899-12-30 00:00:00,Lockerschneelawine naß,15.0,,bewölkt,SW,1.0,0.0,158.0,,,,
1959-04-07 00:00:00,1899-12-30 00:00:00,Schneebrettlawine trocken,2.0,,Eisregen,SW,1.0,,128.0,,,,
1959-04-10 00:00:00,1899-12-30 09:30:00,Grundlawine,15.0,,bewölkt,SW,2.0,-4.0,180.0,36.0,,,
1959-04-21 00:00:00,1899-12-30 00:00:00,Schneebrettlawine trocken,6.0,,heiter,NE,1.0,-10.0,190.0,10.0,,,
1959-04-21 00:00:00,1899-12-30 00:00:00,Schneebrettlawine trocken,3.0,,heiter,NE,1.0,-10.0,190.0,10.0,0.0,,
1959-05-11 00:00:00,1899-12-30 17:00:00,Grundlawine,19.0,,wolkenlos,S,2.0,5.0,130.0,,,,
1959-05-21 00:00:00,1899-12-30 00:00:00,Schneebrettlawine naß,4.0,,heiter,SE,2.0,8.0,82.0,,,,
1960-01-01 00:00:00,,,100.0,,,,,,,,,,
1960-01-04 00:00:00,1899-12-30 00:00:00,Lockerschneelawine naß,11.0,50000,Schneefall mäßig,SE,2.0,-5.0,104.0,20.0,,,
1960-01-07 00:00:00,1899-12-30 00:00:00,Staublawine,39.0,50,bewölkt,SW,4.0,-10.0,115.0,8.0,,,
1960-01-07 00:00:00,1899-12-30 00:00:00,Staublawine,39.0,50,bewölkt,SW,4.0,-10.0,115.0,8.0,,,
1960-01-07 00:00:00,1899-12-30 15:30:00,Staublawine,32.0,250,bewölkt,S,2.0,-9.0,37.0,,,,
1960-01-14 00:00:00,1899-12-30 00:00:00,Schneebrettlawine trocken,11.0,500,heiter,N,1.0,-24.0,115.0,2.0,,,
1960-01-14 00:00:00,1899-12-30 00:00:00,Staublawine,19.0,500,heiter,N,1.0,-24.0,115.0,2.0,,,
