Datum,Intervall,Lawinengrad,Lawinengrad_Norm,Lawinengrad_Gew,Schneehöhe,Schneehöhe_Norm,Schneehöhe_Gew,Niederschlag,Niederschlag_Norm,Niederschlag_Gew,Lufttemperatur_7h,Lufttemperatur_7h_Norm,Lufttemperatur_7h_Gew,Lufttemperatur_14h,Lufttemperatur_14h_Norm,Lufttemperatur_14h_Gew,Lufttemperatur_19h,Lufttemperatur_19h_Norm,Lufttemperatur_19h_Gew,Schneetemperatur,Schneetemperatur_Norm,Schneetemperatur_Gew,Windrichtung,Windrichtung_Norm,Windrichtung_Gew,Windstärke,Windstärke_Norm,Windstärke_Gew,Einsinktiefe,Einsinktiefe_Norm,Einsinktiefe_Gew,Wetter_akt,Wetter_akt_Norm,Wetter_akt_Gew,Wetter_gestern,Wetter_gestern_Norm,Wetter_gestern_Gew,Wolken,Wolken_Norm,Wolken_Gew,Neuschnee_x,Neuschnee_Norm,Neuschnee_Gew,Lawinenabgänge,Lawinenabgänge_Norm,Lawinenabgänge_Gew,Winterphase,Winterphase_Norm,Winterphase_Gew,Distanz,DATUM,ZEIT,Lawinen_Art,GRNR,Volumen,Wetter,WIND_RCHTG,WIND_GSCHW,Temperatur,Schneehoehe,Neuschnee_y,Gefahr,Bemerkung,ID,Bereich_KAPRUN,Gebiet,Code_neu,Lawinenstrich,Text,xoff,yoff,Scale,ScaleW,ScaleH,OffX,OffY,Lawinencode,TEZCode,meanExpo,meanSlope,stdDevSlope,MinSlope,MaxSlope,Altitude
1992-01-02,1991/ 1992,0.0,0.0,0.0,120.0,149.4163424124514,0.0,0.0,0.0,0.0,1.7,13.6,-22.8,3.6,28.8,3.6,3.4,27.2,4.4,0.0,0.0,0.0,225.0,-7.778174592952785,-8.0,11.0,-28.00142853534454,-2.9396931919972725e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.06392462133995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.47193195002416,40.891475,7.317475,0.0,65.40911249999999,1719.594455
1992-01-03,1991/ 1992,0.0,0.0,0.0,120.0,144.7963800904977,0.0,0.0,0.0,0.0,2.4,19.2,6.8,6.7,53.6,14.4,-1.7,-13.6,13.6,0.0,0.0,0.0,225.0,-2.121320343532578,-7.778174592952785,3.0,-7.636753236912147,-28.00142853534454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.20638838644152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.980624706433346,41.10323333333333,6.860250000000001,6.015999999999999,54.98563333333333,1940.334
1992-01-04,1991/ 1992,0.0,0.0,0.0,114.0,134.2163355408389,0.0,0.0,0.0,0.0,-5.9,-47.2,9.6,-6.3,-50.4,26.8,-3.9,-31.2,-6.8,0.0,0.0,0.0,225.0,-2.121320343532578,-2.121320343532578,3.0,-7.636753236912147,-7.636753236912147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.60464394109936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.97914664591417,38.3117,6.966049999999999,7.606199999999999,61.01829999999998,1719.594455
1992-01-05,1991/ 1992,0.0,0.0,0.0,110.0,131.4904744116548,0.0,2.9,0.0,0.0,-1.0,-8.0,-23.6,-1.8,-14.4,-25.2,-3.5,-28.0,-15.6,0.0,0.0,0.0,180.0,-8.0,-2.121320343532578,8.0,-2.9396931919972725e-10,-7.636753236912147,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,9.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.35230018247317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.46868802414093,46.2365,5.3207,0.0,57.45053333333334,2461.5064375
1992-01-06,1991/ 1992,0.0,0.0,0.0,107.0,129.6969696969697,0.0,0.0,0.0,0.0,-4.0,-32.0,-4.0,-0.5,-4.0,-7.2,-0.7000000000000001,-5.600000000000001,-14.0,0.0,0.0,0.0,270.0,7.655117953918843e-11,-8.0,5.0,-18.0,-2.9396931919972725e-10,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,8.0,80.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.13636785489943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.42809660216442,42.22405,7.696246428571428,14.436824999999999,71.69213846153846,1472.435275
1992-01-07,1991/ 1992,0.0,0.0,0.0,107.0,123.0326985267697,0.0,0.0,0.0,0.0,0.6,4.8,-16.0,2.2,17.6,-2.0,1.0,8.0,-2.8,0.0,0.0,0.0,225.0,-3.535533905887629,7.655117953918843e-11,5.0,-12.72792206152024,-18.0,4.0,40.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,44.55086376737566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.980624706433346,36.16575,7.317475,3.598442857142857,69.60602500000002,2179.063375
1992-01-08,1991/ 1992,0.0,0.0,0.0,107.0,116.2648556876061,0.0,0.0,0.0,0.0,-2.1,-16.8,2.4,2.0,16.0,8.8,1.8,14.4,4.0,0.0,0.0,0.0,225.0,-3.535533905887629,-3.535533905887629,5.0,-12.72792206152024,-12.72792206152024,4.0,40.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,80.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,52.06850240224129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.90372187786215,36.353125,6.44835,0.0,66.35245,1980.7611
1992-01-09,1991/ 1992,0.0,0.0,0.0,107.0,114.476763624206,0.0,0.0,0.0,0.0,1.0,8.0,-8.4,4.2,33.6,8.0,3.5,28.0,7.2,0.0,0.0,0.0,315.0,2.121320343597533,-3.535533905887629,3.0,-7.636753236678307,-12.72792206152024,5.0,50.0,20.0,2.0,0.0,0.0,1.0,0.0,0.0,8.0,80.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,55.38979580287524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.32502943698503,41.47410000000001,4.456625000000001,0.0,62.52731063829788,2256.0364499999996
1992-01-10,1991/ 1992,0.0,0.0,0.0,104.0,113.0050933786078,0.0,0.0,0.0,0.0,-1.3,-10.4,4.0,0.4,3.2,16.8,-3.3,-26.4,14.0,0.0,0.0,0.0,180.0,-1.0,2.121320343597533,1.0,-3.6746164899965906e-11,-7.636753236678307,3.0,30.0,25.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.81147321688492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.26865815593663,40.891475,7.696246428571428,23.699150000000003,66.35245,2637.0868510638297
1992-01-11,1991/ 1992,0.0,0.0,0.0,104.0,112.3944613306315,0.0,0.0,0.0,0.0,-3.7,-29.6,-5.2,-2.1,-16.8,1.6,-5.9,-47.2,-13.2,0.0,0.0,0.0,180.0,-3.0,-1.0,3.0,-1.1023849469989769e-10,-3.6746164899965906e-11,2.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.74164946220228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.3576608990387,43.07067142857143,5.3846,13.071087499999999,41.6142,2749.76394
