Datum,Intervall,Schneehöhe,Schneehöhe_Norm,Niederschlag,Lufttemperatur_7h,Lufttemperatur_7h_Norm,Lufttemperatur_7h_Gew,Lufttemperatur_14h,Lufttemperatur_14h_Norm,Lufttemperatur_14h_Gew,Lufttemperatur_19h,Lufttemperatur_19h_Norm,Lufttemperatur_19h_Gew,Schneetemperatur,Schneetemperatur_Norm,Schneetemperatur_Gew,Windrichtung,Windrichtung_Norm,Windrichtung_Gew,Windstärke,Windstärke_Norm,Windstärke_Gew,Einsinktiefe,Einsinktiefe_Norm,Einsinktiefe_Gew,Wetter_akt,Wetter_gestern,Wolken,Wolken_Norm,Neuschnee_x,Neuschnee_Norm,Neuschnee_Gew,Neuschnee_last4,Neuschnee_last2,windstaerke_last1,windstaerke_last2,windstaerke_last3,windstaerke_last4,Lufttemperatur_last1,Lufttemperatur_last2,Lufttemperatur_last3,Lufttemperatur_last4,ID,meanExpo,meanSlope,stdDevSlope,MinSlope,MaxSlope,Altitude,Avalanche
1989-12-20, 1989/ 1990,20.0,29.37127122533272,0.0,-1.4,-11.2,99999.0,2.6,20.8,99999.0,4.600000000000001,36.8,99999.0,0.0,0.0,99999.0,135.0,-0.7071067811919605,99999.0,1.0,2.545584412252084,99999.0,20.0,200.0,99999.0,1.0,7.0,1.0,10.0,20.0,200.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.62259194360806,40.215385714285716,6.8277,3.598442857142857,60.65671428571428,2925.3788714285715,0
1989-12-21, 1989/ 1990,19.0,26.65497588776852,0.0,3.9,31.2,-5.600000000000001,3.5,28.0,10.4,3.2,25.6,18.4,0.0,0.0,0.0,180.0,-1.0,-0.7071067811919605,1.0,-3.6746164899965906e-11,2.545584412252084,16.0,160.0,100.0,2.0,1.0,6.0,60.0,0.0,0.0,99999.0,200.0,200.0,2.545584412252084,0.0,0.0,0.0,15.466666666666667,0.0,0.0,0.0,0.0,86.72131216113675,43.193687499999996,9.617375,0.0,71.5918125,2461.5064375,0
1989-12-22, 1989/ 1990,19.0,27.31356693620845,9.1,7.600000000000001,60.8,15.6,4.7,37.6,14.0,2.7,21.6,12.8,0.0,0.0,0.0,270.0,1.2248188726270148e-10,-1.0,8.0,-28.8,-3.6746164899965906e-11,9.0,90.0,80.0,1.0,1.0,2.0,20.0,0.0,0.0,99999.0,200.0,200.0,-3.6746164899965906e-11,2.545584412252084,0.0,0.0,28.266666666666666,15.466666666666667,0.0,0.0,0.0,95.78291886961902,42.4658,8.1845,0.0,61.137879999999996,2423.43086,0
1989-12-23, 1989/ 1990,4.0,5.611573871109163,5.3,-6.0,-48.0,30.4,-7.600000000000001,-60.8,18.8,-4.4,-35.2,10.8,0.0,0.0,0.0,360.0,3.0,1.2248188726270148e-10,3.0,2.2047698939979548e-10,-28.8,2.0,20.0,45.0,3.0,6.0,8.0,80.0,2.0,20.0,20.0,200.0,0.0,-28.8,-3.6746164899965906e-11,2.545584412252084,0.0,40.0,28.266666666666666,15.466666666666667,0.0,0.0,236.81701527625484,36.16575,5.3207,23.699150000000003,52.54575,2344.71655,0
1989-12-24, 1989/ 1990,10.0,13.89491966999566,7.3,-5.100000000000001,-40.8,-24.0,-4.2,-33.6,-30.4,-2.7,-21.6,-17.6,0.0,0.0,0.0,360.0,3.0,3.0,3.0,2.2047698939979548e-10,2.2047698939979548e-10,8.0,80.0,10.0,73.0,0.0,9.0,90.0,10.0,100.0,20.0,220.0,20.0,2.2047698939979548e-10,-28.8,-3.6746164899965906e-11,2.545584412252084,-48.0,40.0,28.266666666666666,15.466666666666667,0.0,271.6647666395917,41.9246,4.6595,33.076,54.9209,1980.7611,0
1989-12-25, 1989/ 1990,25.0,33.26403326403327,0.0,-1.7,-13.6,-20.4,3.0,24.0,-16.8,0.4,3.2,-10.8,0.0,0.0,0.0,225.0,-2.121320343532578,3.0,3.0,-7.636753236912147,2.2047698939979548e-10,14.0,140.0,40.0,76.0,8.0,0.0,0.0,20.0,200.0,106.0,120.0,120.0,2.2047698939979548e-10,2.2047698939979548e-10,-28.8,-3.6746164899965906e-11,-32.0,-48.0,40.0,28.266666666666666,0.0,271.6647666395917,41.9246,4.6595,33.076,54.9209,1980.7611,0
1989-12-26, 1989/ 1990,25.0,32.90826820238585,0.0,-1.3,-10.4,-6.8,-1.2,-9.6,12.0,-3.5,-28.0,1.6,0.0,0.0,0.0,225.0,-2.121320343532578,-2.121320343532578,3.0,-7.636753236912147,-7.636753236912147,19.0,190.0,70.0,0.0,1.0,0.0,0.0,0.0,0.0,232.0,320.0,300.0,-7.636753236912147,2.2047698939979548e-10,2.2047698939979548e-10,-28.8,4.533333333333333,-32.0,-48.0,40.0,0.0,34.688782218015966,40.63506666666667,6.611666666666667,6.015999999999999,57.45053333333334,2166.8580666666667,0
1989-12-27, 1989/ 1990,25.0,32.77345350266284,0.0,-6.0,-48.0,-5.2,-3.3,-26.4,-4.8,-5.600000000000001,-44.8,-14.0,0.0,0.0,0.0,225.0,-2.121320343532578,-2.121320343532578,3.0,-7.636753236912147,-7.636753236912147,25.0,250.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,320.0,200.0,-7.636753236912147,-7.636753236912147,2.2047698939979548e-10,2.2047698939979548e-10,-16.0,4.533333333333333,-32.0,-48.0,0.0,244.23490345925012,36.92165,4.456625000000001,13.363050000000001,52.8433,2423.3851250000002,0
1989-12-28, 1989/ 1990,25.0,31.09211037699184,0.0,-4.7,-37.6,-24.0,-4.0,-32.0,-13.2,-7.8,-62.4,-22.4,0.0,0.0,0.0,180.0,-8.0,-2.121320343532578,8.0,-2.9396931919972725e-10,-7.636753236912147,23.0,230.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,300.0,0.0,-7.636753236912147,-7.636753236912147,-7.636753236912147,2.2047698939979548e-10,-39.733333333333334,-16.0,4.533333333333333,-32.0,0.0,102.33951732926613,36.353125,5.7966,14.436824999999999,53.0856,2179.063375,0
1989-12-29, 1989/ 1990,25.0,31.49606299212599,0.0,-7.9,-63.2,-18.8,-5.0,-40.0,-16.0,-5.9,-47.2,-31.2,0.0,0.0,0.0,180.0,-3.0,-8.0,3.0,-1.1023849469989769e-10,-2.9396931919972725e-10,23.0,230.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,-2.9396931919972725e-10,-7.636753236912147,-7.636753236912147,-7.636753236912147,-44.0,-39.733333333333334,-16.0,4.533333333333333,0.0,236.81701527625484,36.16575,5.3207,23.699150000000003,52.54575,2344.71655,0
