Intervall,Avalanche
1956/ 1957,11
1957/ 1958,4
1958/ 1959,7
1959/ 1960,62
1964/ 1965,8
1965/ 1966,8
1966/ 1967,15
1967/ 1968,9
1968/ 1969,3
1969/ 1970,20
1970/ 1971,22
1971/ 1972,0
1972/ 1973,67
1973/ 1974,31
1974/ 1975,78
1976/ 1977,0
1979/ 1980,27
1980/ 1981,40
1981/ 1982,29
1982/ 1983,27
1983/ 1984,0
1984/ 1985,10
1985/ 1986,24
1986/ 1987,37
1987/ 1988,17
1988/ 1989,18
1989/ 1990,66
1990/ 1991,55
1991/ 1992,133
1992/ 1993,80
1993/ 1994,47
1994/ 1995,93
1995/ 1996,3
1996/ 1997,19
1997/ 1998,18
1998/ 1999,90
1999/ 2000,128
2000/ 2001,89
2001/ 2002,124
2002/ 2003,84
2003/ 2004,92
2004/ 2005,97
2005/ 2006,100
2006/ 2007,40
2007/ 2008,86
2008/ 2009,79
2009/ 2010,52
2010/ 2011,52
2011/ 2012,150
2012/ 2013,121
2013/ 2014,55
2014/ 2015,75
2015/ 2016,66
2016/ 2017,67
2017/ 2018,133
2018/ 2019,177
2019/ 2020,67
2020/ 2021,130
2021/ 2022,26
