gen	nevals	fitness 	fitness_std	fitness_max	fitness_min
0  	60    	0.703853	0.0125923  	0.722676   	0.662298   
1  	120   	0.713642	0.00634901 	0.72353    	0.698325   
2  	120   	0.718276	0.00433797 	0.725524   	0.706864   
3  	120   	0.722033	0.00272221 	0.726953   	0.714841   
4  	120   	0.723752	0.00187442 	0.726953   	0.718403   
5  	120   	0.72507 	0.00147838 	0.727664   	0.720541   
6  	120   	0.726132	0.00109028 	0.728233   	0.723247   
7  	120   	0.726519	0.00105323 	0.728659   	0.722392   
8  	120   	0.727086	0.000801154	0.728659   	0.725099   
9  	120   	0.727293	0.0011263  	0.7298     	0.722822   
10 	120   	0.727516	0.00130853 	0.7298     	0.72097    
11 	120   	0.727971	0.00107275 	0.730085   	0.724385   
12 	120   	0.728577	0.00101789 	0.731081   	0.72624    
13 	120   	0.729235	0.00142923 	0.731224   	0.724387   
14 	120   	0.729769	0.00105548 	0.732225   	0.726808   
15 	120   	0.730437	0.00117652 	0.733218   	0.725955   
16 	120   	0.730807	0.00129698 	0.733218   	0.723673   
17 	120   	0.73104 	0.00120075 	0.733218   	0.72695    
18 	120   	0.73131 	0.00117603 	0.733218   	0.727096   
19 	120   	0.731752	0.000981481	0.733218   	0.729089   
20 	120   	0.732175	0.000949364	0.733932   	0.728947   
21 	120   	0.732458	0.00102109 	0.73379    	0.728948   
22 	120   	0.732531	0.000986949	0.73379    	0.728948   
23 	120   	0.732571	0.00134103 	0.73379    	0.726809   
24 	120   	0.732925	0.000844593	0.73379    	0.72966    
25 	120   	0.732713	0.00174688 	0.73379    	0.721108   
26 	120   	0.732806	0.00125429 	0.73379    	0.725669   
27 	120   	0.732992	0.00123599 	0.734645   	0.728376   
28 	120   	0.73308 	0.00137027 	0.733934   	0.728236   
29 	120   	0.733365	0.00118943 	0.734217   	0.72738    
30 	120   	0.733608	0.00105994 	0.734929   	0.728235   
31 	120   	0.733672	0.00108549 	0.73493    	0.728805   
32 	120   	0.73385 	0.000695619	0.734929   	0.730799   
33 	120   	0.734028	0.000734546	0.734929   	0.730798   
34 	120   	0.734168	0.000791133	0.735499   	0.730658   
35 	120   	0.734346	0.00115998 	0.735499   	0.729518   
36 	120   	0.733966	0.00187919 	0.735499   	0.728662   
37 	120   	0.734358	0.00118392 	0.735499   	0.731083   
38 	120   	0.734436	0.00132644 	0.735784   	0.72852    
39 	120   	0.7346  	0.00119399 	0.735784   	0.730088   
40 	120   	0.734716	0.00118726 	0.735784   	0.728521   
41 	120   	0.734355	0.00182061 	0.735784   	0.726382   
42 	120   	0.734509	0.00172518 	0.735784   	0.728235   
43 	120   	0.735193	0.000834162	0.735784   	0.731084   
44 	120   	0.734989	0.00178103 	0.735784   	0.726241   
45 	120   	0.735112	0.00136736 	0.736639   	0.728094   
46 	120   	0.73525 	0.00122832 	0.736639   	0.731083   
47 	120   	0.73554 	0.00108    	0.736639   	0.730229   
48 	120   	0.73577 	0.000788188	0.736639   	0.731511   
49 	120   	0.735782	0.00102273 	0.737352   	0.731511   
50 	120   	0.735865	0.00171288 	0.737352   	0.728662
