gen & nevals & fitness  & fitness_std & fitness_max & fitness_min
0   & 60     & 0.704242 & 0.0123281   & 0.726093    & 0.670973   
1   & 120    & 0.714589 & 0.00667668  & 0.726093    & 0.688928   
2   & 120    & 0.718919 & 0.00453136  & 0.726093    & 0.710997   
3   & 120    & 0.723237 & 0.00303476  & 0.727806    & 0.712278   
4   & 120    & 0.724961 & 0.00196863  & 0.727806    & 0.71812    
5   & 120    & 0.725878 & 0.00129472  & 0.728376    & 0.722535   
6   & 120    & 0.726948 & 0.000941404 & 0.728803    & 0.725097   
7   & 120    & 0.727513 & 0.00106093  & 0.730227    & 0.72325    
8   & 120    & 0.728131 & 0.000924066 & 0.730795    & 0.726666   
9   & 120    & 0.728791 & 0.000902088 & 0.730795    & 0.727094   
10  & 120    & 0.729598 & 0.000747733 & 0.730938    & 0.727236   
11  & 120    & 0.729835 & 0.000844274 & 0.730938    & 0.725385   
12  & 120    & 0.730317 & 0.000772502 & 0.731795    & 0.727236   
13  & 120    & 0.730697 & 0.000724717 & 0.731936    & 0.727377   
14  & 120    & 0.730932 & 0.00077363  & 0.731936    & 0.726239   
15  & 120    & 0.731143 & 0.000570597 & 0.731795    & 0.728517   
16  & 120    & 0.731488 & 0.000475631 & 0.732223    & 0.72923    
17  & 120    & 0.731405 & 0.00132256  & 0.732223    & 0.723104   
18  & 120    & 0.731655 & 0.000635327 & 0.732223    & 0.728233   
19  & 120    & 0.731631 & 0.000930466 & 0.732223    & 0.726667   
20  & 120    & 0.73165  & 0.000917432 & 0.732223    & 0.727806   
21  & 120    & 0.73141  & 0.00185502  & 0.733362    & 0.721962   
22  & 120    & 0.732077 & 0.000964221 & 0.733362    & 0.727806   
23  & 120    & 0.732149 & 0.000938054 & 0.733362    & 0.728661   
24  & 120    & 0.732298 & 0.000731376 & 0.733362    & 0.729943   
25  & 120    & 0.732479 & 0.000836739 & 0.733362    & 0.727948   
26  & 120    & 0.732412 & 0.00112581  & 0.733504    & 0.728234   
27  & 120    & 0.7327   & 0.00142605  & 0.733647    & 0.724102   
28  & 120    & 0.732992 & 0.000931397 & 0.733647    & 0.729088   
29  & 120    & 0.732965 & 0.00114926  & 0.733647    & 0.728235   
30  & 120    & 0.733013 & 0.0014095   & 0.733647    & 0.7241     
31  & 120    & 0.733082 & 0.00103464  & 0.733647    & 0.728945   
32  & 120    & 0.733079 & 0.00109099  & 0.733647    & 0.728091   
33  & 120    & 0.733205 & 0.00109041  & 0.733647    & 0.728091   
34  & 120    & 0.73355  & 0.000173667 & 0.733647    & 0.732507   
35  & 120    & 0.733559 & 0.000206726 & 0.733647    & 0.732507   
36  & 120    & 0.733308 & 0.00100343  & 0.733647    & 0.72752    
37  & 120    & 0.733312 & 0.000800942 & 0.733647    & 0.730655   
38  & 120    & 0.733251 & 0.00137707  & 0.733647    & 0.725239   
39  & 120    & 0.73302  & 0.00150437  & 0.733647    & 0.72738    
40  & 120    & 0.733284 & 0.000779658 & 0.733647    & 0.729801   
41  & 120    & 0.733348 & 0.000880817 & 0.733647    & 0.729231   
42  & 120    & 0.733206 & 0.00164194  & 0.733647    & 0.722538   
43  & 120    & 0.733286 & 0.0010791   & 0.733647    & 0.728947   
44  & 120    & 0.733509 & 0.000600649 & 0.733647    & 0.729801   
45  & 120    & 0.733476 & 0.0007281   & 0.733647    & 0.728663   
46  & 120    & 0.733267 & 0.00097823  & 0.733647    & 0.729088   
47  & 120    & 0.733419 & 0.000930475 & 0.733647    & 0.72738    
48  & 120    & 0.733201 & 0.00111077  & 0.733647    & 0.727521   
49  & 120    & 0.73355  & 0.000402505 & 0.733647    & 0.731083   
50 & 120 & 0.733517 & 0.000460338 & 0.733647 & 0.730656
