gen, nevals, fitness,  fitness_std, fitness_max, fitness_min
0,  60,  0.709667, 0.0147088,  0.735073, 0.659165   
1,  120, 0.720193, 0.0100441,  0.740347, 0.690638   
2,  120, 0.729093, 0.00687845,  0.740347, 0.710149   
3,  120, 0.735338, 0.00461907,  0.748176, 0.726389   
4,  120, 0.738037, 0.00445845,  0.751595, 0.726671   
5,  120, 0.742132, 0.00506327,  0.754014, 0.731801   
6,  120, 0.745811, 0.00578773,  0.757575, 0.732509   
7,  120, 0.750854, 0.00381556,  0.757575, 0.741631   
8,  120, 0.753108, 0.00342803,  0.757861, 0.737638   
9,  120, 0.754431, 0.00304133,  0.760709, 0.745328   
10,  120, 0.756107, 0.00226771,  0.759712, 0.747892   
11,  120, 0.757854, 0.00156937,  0.761282, 0.754441   
12,  120, 0.758511, 0.00160632,  0.761565, 0.753445   
13,  120, 0.759069, 0.00161952,  0.761565, 0.754729   
14,  120, 0.75972,  0.00175379,  0.763557, 0.752021   
15,  120, 0.760112, 0.00148348,  0.763557, 0.754443   
16,  120, 0.760483, 0.00160656,  0.763557, 0.7543     
17,  120, 0.761597, 0.00159686,  0.765554, 0.756441   
18,  120, 0.761342, 0.00221009,  0.765554, 0.755015   
19,  120, 0.762465, 0.00161811,  0.765554, 0.758574   
20,  120, 0.763289, 0.00170809,  0.767832, 0.757576   
21,  120, 0.76334,  0.00233955,  0.767832, 0.754298   
22,  120, 0.764314, 0.00153476,  0.767832, 0.759571   
23,  120, 0.764445, 0.00157919,  0.767832, 0.759571   
24,  120, 0.76468,  0.00173624,  0.767832, 0.75701    
25,  120, 0.764732, 0.00214714,  0.767832, 0.754448   
26,  120, 0.764889, 0.00168696,  0.767832, 0.759427   
27,  120, 0.765148, 0.00167309,  0.767832, 0.759144   
28,  120, 0.765478, 0.00176424,  0.767832, 0.75729    
29,  120, 0.765865, 0.00121795,  0.767832, 0.761567   
30,  120, 0.766031, 0.0014251,  0.767832, 0.761564   
31,  120, 0.766197, 0.00115957,  0.767832, 0.762136   
32,  120, 0.76652,  0.00115725,  0.767832, 0.760284   
33,  120, 0.766211, 0.00147224,  0.767832, 0.761849   
34,  120, 0.766627, 0.00151971,  0.767832, 0.759858   
35,  120, 0.766897, 0.00163545,  0.767832, 0.760712   
36,  120, 0.76689,  0.00210624,  0.768829, 0.75658    
37,  120, 0.766301, 0.00304618,  0.768829, 0.75658    
38,  120, 0.766607, 0.00281897,  0.768972, 0.757292   
39,  120, 0.767004, 0.00240243,  0.768972, 0.759143   
40,  120, 0.766716, 0.00297175,  0.768972, 0.754156   
41,  120, 0.767239, 0.00230307,  0.768972, 0.759143   
42,  120, 0.767645, 0.00220465,  0.768972, 0.755726   
43,  120, 0.768082, 0.00180972,  0.768972, 0.759997   
44,  120, 0.767369, 0.00285895,  0.768972, 0.757006   
45,  120, 0.767941, 0.0022258,  0.768972, 0.76       
46,  120, 0.768112, 0.00206396,  0.768972, 0.756725   
47,  120, 0.767573, 0.00243101,  0.768972, 0.758287   
48,  120, 0.767868, 0.00216109,  0.768972, 0.757434   
49,  120, 0.768307, 0.00178561,  0.768972, 0.76071    
50,  120, 0.768267, 0.00159737,  0.768972, 0.762988
