"DATUM","ZEIT","Lawinen_Art","GRNR","Volumen","Wetter","WIND_RCHTG","WIND_GSCHW","Temperatur","Schneehoehe","Neuschnee","Gefahr","Bemerkung"
"1957-02-27 00:00:00","1899-12-30 00:00:00","Grundlawine","43",,"Schneefall schwach","S",2,-5,280,4,0,
"1967-03-21 00:00:00","1899-12-30 00:00:00","Staublawine","13",,"bewölkt","SW",3,-7,0,10,0,
"1967-04-05 00:00:00","1899-12-30 07:20:00","Staublawine","13",,"Schneefall mäßig","NE",6,-5,320,25,,
"1970-02-04 00:00:00","1899-12-30 00:00:00","Staublawine","13",,"Schneefall mäßig","SE",2,-6,118,32,,
"1970-02-22 00:00:00","1899-12-30 10:49:00","Staublawine","13",,"Schneetreiben","SE",3,-3,170,25,,
"1970-04-26 00:00:00","1899-12-30 08:10:00","Schneebrettlawine naß","43",,"bewölkt","SE",5,3,211,0,0,
"1971-03-29 00:00:00","1899-12-30 00:00:00","Lockerschneelawine naß","16",,"heiter","NE",2,-8,146,9,,
"1973-02-26 00:00:00","1899-12-30 00:00:00","Lockerschneelawine trocken","13",,"bewölkt","N",3,-10,144,6,3,
"1973-03-09 00:00:00","1899-12-30 00:00:00","Staublawine","16","klein","Schneetreiben",,,,,,,
"1973-03-09 00:00:00","1899-12-30 14:10:00","Staublawine","13","b=150","Schneefall mäßig","N",,,,,4,
"1973-03-10 00:00:00","1899-12-30 10:30:00","Staublawine","13",,"Schneefall mäßig","NE",3,-14,170,7,4,
"1973-03-11 00:00:00","1899-12-30 13:00:00","Staublawine","16","mittel","heiter","SE",3,-15,170,5,4,
"1973-03-27 00:00:00","1899-12-30 12:20:00","Schneebrettlawine trocken","13",,"heiter","SE",1,,140,,2,
"1973-12-19 00:00:00","1899-12-30 00:00:00","Schneebrettlawine trocken","43",,"heiter","S",3,-4,177,2,3,
"1974-03-07 00:00:00","1899-12-30 00:00:00","Grundlawine","43","6.000","bewölkt","SE",2,-5,148,,23,
"1974-03-16 00:00:00","1899-12-30 00:00:00","Schneebrettlawine trocken","13","200x30","bewölkt","SW",4,-1,151,,23,
"1974-12-02 00:00:00","1899-12-30 00:00:00","Schneebrettlawine trocken","43",,"Schneefall mäßig","NE",3,-1,153,22,3,
"1974-12-19 00:00:00","1899-12-30 00:00:00","Schneebrettlawine trocken","43",,"Schneefall mäßig","NE",8,-9,215,10,3,
"1974-12-22 00:00:00","1899-12-30 00:00:00","Schneebrettlawine trocken","43",,"heiter","S",3,-1,203,,2,
"1974-12-29 00:00:00","1899-12-30 00:00:00","Grundlawine","43",,"Regen","NW",3,1,190,,3,
