"Wertnr","Bezeichnung_ID","Bezeichnung_Zusatz","Anpassung","Formel_ID","Gew_0","Gew_1","Gew_2","Gew_3","Gew_4","Gew_5"
1,1,"Stufe",0,1,0,0,0,0,0,0
2,2,"cm",1,3,1,0,0,0,0,0
3,4,"mm",0,1,0,0,0,0,0,0
16,6,"°C",10,1,1,0.5,0,0,0,0
7,7,"Grad",1,2,1,1,0,0,0,0
8,8,"m/s",3.6,2,1,1,0,0,0,0
9,15,"cm",5,1,2,1,0,0,0,0
12,17,"1/8",10,1,1,0,0,0,0,0
14,21,,0,1,0,0,0,0,0,0
15,23,,0,1,0,0,0,0,0,0
4,24,"°C",8,1,1,0.5,0,0,0,0
5,25,"°C",8,1,1,0.5,0,0,0,0
6,26,"°C",8,1,1,0.5,0,0,0,0
10,27,"verschlüsselt",0,1,0,0,0,0,0,0
11,28,"verschlüsselt",0,1,0,0,0,0,0,0
13,29,"cm",10,1,1,1,0.3,0.1,0,0
