Stationsmessort:	Beobachter
Stationsname:	Beobachtung Mooserboden
Stationsnummer:	AT-5-LWD-103015-4
Lokale Koordinaten X:	403193,099709
Lokale Koordinaten Y:	225603,090275
MPH:	2070
Parametername:	HS
Parametertyp:	SH
Name des Parametertyps:	Schneehöhe
Name der Zeitreihe:	5644436/AT-5-LWD-103015-4/HS/Cmd
Einheit der Zeitreihe:	cm
Regionale Koordinaten X:	-46806,900291
Regionale Koordinaten Y:	225603,090275
Geografische Länge:	12,715257
Geografische Breite:	47,167737
Datum;Uhrzeit;Wert[cm];Status des Werts
13.12.1993;00:00:00;38;Ungeprüft
14.12.1993;00:00:00;38;Ungeprüft
15.12.1993;00:00:00;60;Ungeprüft
16.12.1993;00:00:00;43;Ungeprüft
17.12.1993;00:00:00;46;Ungeprüft
18.12.1993;00:00:00;47;Ungeprüft
19.12.1993;00:00:00;47;Ungeprüft
20.12.1993;00:00:00;47;Ungeprüft
21.12.1993;00:00:00;46;Ungeprüft
22.12.1993;00:00:00;50;Ungeprüft
23.12.1993;00:00:00;49;Ungeprüft
24.12.1993;00:00:00;44;Ungeprüft
25.12.1993;00:00:00;50;Ungeprüft
26.12.1993;00:00:00;50;Ungeprüft
27.12.1993;00:00:00;75;Ungeprüft
28.12.1993;00:00:00;75;Ungeprüft
29.12.1993;00:00:00;75;Ungeprüft
30.12.1993;00:00:00;70;Ungeprüft
31.12.1993;00:00:00;70;Ungeprüft
01.01.1994;00:00:00;75;Ungeprüft
02.01.1994;00:00:00;58;Ungeprüft
03.01.1994;00:00:00;80;Ungeprüft
04.01.1994;00:00:00;80;Ungeprüft
05.01.1994;00:00:00;90;Ungeprüft
06.01.1994;00:00:00;49;Ungeprüft
07.01.1994;00:00:00;47;Ungeprüft
08.01.1994;00:00:00;38;Ungeprüft
09.01.1994;00:00:00;33;Ungeprüft
10.01.1994;00:00:00;31;Ungeprüft
11.01.1994;00:00:00;31;Ungeprüft
12.01.1994;00:00:00;31;Ungeprüft
13.01.1994;00:00:00;28;Ungeprüft
14.01.1994;00:00:00;28;Ungeprüft
15.01.1994;00:00:00;28;Ungeprüft
16.01.1994;00:00:00;28;Ungeprüft
17.01.1994;00:00:00;28;Ungeprüft
18.01.1994;00:00:00;33;Ungeprüft
19.01.1994;00:00:00;33;Ungeprüft
20.01.1994;00:00:00;30;Ungeprüft
21.01.1994;00:00:00;30;Ungeprüft
22.01.1994;00:00:00;28;Ungeprüft
23.01.1994;00:00:00;28;Ungeprüft
24.01.1994;00:00:00;28;Ungeprüft
25.01.1994;00:00:00;31;Ungeprüft
26.01.1994;00:00:00;38;Ungeprüft
27.01.1994;00:00:00;90;Ungeprüft
28.01.1994;00:00:00;93;Ungeprüft
29.01.1994;00:00:00;123;Ungeprüft
30.01.1994;00:00:00;120;Ungeprüft
31.01.1994;00:00:00;110;Ungeprüft
01.02.1994;00:00:00;107;Ungeprüft
02.02.1994;00:00:00;107;Ungeprüft
03.02.1994;00:00:00;105;Ungeprüft
04.02.1994;00:00:00;102;Ungeprüft
05.02.1994;00:00:00;96;Ungeprüft
06.02.1994;00:00:00;96;Ungeprüft
07.02.1994;00:00:00;93;Ungeprüft
08.02.1994;00:00:00;93;Ungeprüft
09.02.1994;00:00:00;102;Ungeprüft
10.02.1994;00:00:00;99;Ungeprüft
11.02.1994;00:00:00;111;Ungeprüft
12.02.1994;00:00:00;124;Ungeprüft
13.02.1994;00:00:00;135;Ungeprüft
14.02.1994;00:00:00;124;Ungeprüft
15.02.1994;00:00:00;83;Ungeprüft
16.02.1994;00:00:00;90;Ungeprüft
17.02.1994;00:00:00;83;Ungeprüft
18.02.1994;00:00:00;83;Ungeprüft
19.02.1994;00:00:00;83;Ungeprüft
20.02.1994;00:00:00;83;Ungeprüft
21.02.1994;00:00:00;83;Ungeprüft
22.02.1994;00:00:00;80;Ungeprüft
23.02.1994;00:00:00;83;Ungeprüft
24.02.1994;00:00:00;83;Ungeprüft
25.02.1994;00:00:00;83;Ungeprüft
26.02.1994;00:00:00;83;Ungeprüft
27.02.1994;00:00:00;83;Ungeprüft
28.02.1994;00:00:00;93;Ungeprüft
01.03.1994;00:00:00;89;Ungeprüft
02.03.1994;00:00:00;96;Ungeprüft
03.03.1994;00:00:00;102;Ungeprüft
04.03.1994;00:00:00;120;Ungeprüft
05.03.1994;00:00:00;124;Ungeprüft
06.03.1994;00:00:00;123;Ungeprüft
07.03.1994;00:00:00;117;Ungeprüft
08.03.1994;00:00:00;115;Ungeprüft
09.03.1994;00:00:00;108;Ungeprüft
10.03.1994;00:00:00;108;Ungeprüft
11.03.1994;00:00:00;105;Ungeprüft
12.03.1994;00:00:00;99;Ungeprüft
13.03.1994;00:00:00;103;Ungeprüft
14.03.1994;00:00:00;96;Ungeprüft
15.03.1994;00:00:00;96;Ungeprüft
16.03.1994;00:00:00;91;Ungeprüft
17.03.1994;00:00:00;91;Ungeprüft
18.03.1994;00:00:00;118;Ungeprüft
19.03.1994;00:00:00;118;Ungeprüft
20.03.1994;00:00:00;108;Ungeprüft
21.03.1994;00:00:00;105;Ungeprüft
22.03.1994;00:00:00;109;Ungeprüft
23.03.1994;00:00:00;102;Ungeprüft
24.03.1994;00:00:00;96;Ungeprüft
25.03.1994;00:00:00;94;Ungeprüft
26.03.1994;00:00:00;91;Ungeprüft
27.03.1994;00:00:00;99;Ungeprüft
28.03.1994;00:00:00;99;Ungeprüft
29.03.1994;00:00:00;96;Ungeprüft
30.03.1994;00:00:00;93;Ungeprüft
31.03.1994;00:00:00;93;Ungeprüft
01.04.1994;00:00:00;93;Ungeprüft
02.04.1994;00:00:00;111;Ungeprüft
03.04.1994;00:00:00;126;Ungeprüft
04.04.1994;00:00:00;126;Ungeprüft
05.04.1994;00:00:00;121;Ungeprüft
06.04.1994;00:00:00;121;Ungeprüft
07.04.1994;00:00:00;126;Ungeprüft
08.04.1994;00:00:00;123;Ungeprüft
09.04.1994;00:00:00;129;Ungeprüft
10.04.1994;00:00:00;124;Ungeprüft
11.04.1994;00:00:00;129;Ungeprüft
12.04.1994;00:00:00;132;Ungeprüft
13.04.1994;00:00:00;157;Ungeprüft
14.04.1994;00:00:00;156;Ungeprüft
15.04.1994;00:00:00;148;Ungeprüft
16.04.1994;00:00:00;148;Ungeprüft
17.04.1994;00:00:00;145;Ungeprüft
18.04.1994;00:00:00;144;Ungeprüft
19.04.1994;00:00:00;154;Ungeprüft
20.04.1994;00:00:00;139;Ungeprüft
21.04.1994;00:00:00;138;Ungeprüft
22.04.1994;00:00:00;123;Ungeprüft
23.04.1994;00:00:00;120;Ungeprüft
24.04.1994;00:00:00;123;Ungeprüft
25.04.1994;00:00:00;117;Ungeprüft
26.04.1994;00:00:00;107;Ungeprüft
27.04.1994;00:00:00;112;Ungeprüft
28.04.1994;00:00:00;110;Ungeprüft
29.04.1994;00:00:00;110;Ungeprüft
30.04.1994;00:00:00;104;Ungeprüft
01.05.1994;00:00:00;96;Ungeprüft
02.05.1994;00:00:00;96;Ungeprüft
03.05.1994;00:00:00;90;Ungeprüft
04.05.1994;00:00:00;86;Ungeprüft
05.05.1994;00:00:00;77;Ungeprüft
06.05.1994;00:00:00;---;255
07.05.1994;00:00:00;---;255
08.05.1994;00:00:00;---;255
09.05.1994;00:00:00;---;255
10.05.1994;00:00:00;---;255
11.05.1994;00:00:00;---;255
12.05.1994;00:00:00;---;255
13.05.1994;00:00:00;---;255
14.05.1994;00:00:00;---;255
15.05.1994;00:00:00;---;255
16.05.1994;00:00:00;---;255
17.05.1994;00:00:00;---;255
18.05.1994;00:00:00;---;255
19.05.1994;00:00:00;---;255
20.05.1994;00:00:00;---;255
21.05.1994;00:00:00;---;255
22.05.1994;00:00:00;---;255
23.05.1994;00:00:00;---;255
24.05.1994;00:00:00;---;255
25.05.1994;00:00:00;---;255
26.05.1994;00:00:00;---;255
27.05.1994;00:00:00;---;255
28.05.1994;00:00:00;---;255
29.05.1994;00:00:00;---;255
30.05.1994;00:00:00;---;255
31.05.1994;00:00:00;---;255
01.06.1994;00:00:00;---;255
02.06.1994;00:00:00;---;255
03.06.1994;00:00:00;---;255
04.06.1994;00:00:00;---;255
05.06.1994;00:00:00;---;255
06.06.1994;00:00:00;---;255
07.06.1994;00:00:00;---;255
08.06.1994;00:00:00;---;255
09.06.1994;00:00:00;---;255
10.06.1994;00:00:00;---;255
11.06.1994;00:00:00;---;255
12.06.1994;00:00:00;---;255
13.06.1994;00:00:00;---;255
14.06.1994;00:00:00;---;255
15.06.1994;00:00:00;---;255
16.06.1994;00:00:00;---;255
17.06.1994;00:00:00;---;255
18.06.1994;00:00:00;---;255
19.06.1994;00:00:00;---;255
20.06.1994;00:00:00;---;255
21.06.1994;00:00:00;---;255
