Stationsmessort:	Beobachter
Stationsname:	Beobachtung Mooserboden
Stationsnummer:	AT-5-LWD-103015-4
Lokale Koordinaten X:	403193,099709
Lokale Koordinaten Y:	225603,090275
MPH:	2070
Parametername:	WG mit Verfrachtung
Parametertyp:	WSpeed
Name des Parametertyps:	Windgeschwindigkeit
Name der Zeitreihe:	5644436/AT-5-LWD-103015-4/WGmitV/Cmd
Einheit der Zeitreihe:	Bft
Regionale Koordinaten X:	-46806,900291
Regionale Koordinaten Y:	225603,090275
Geografische Länge:	12,715257
Geografische Breite:	47,167737
Datum;Uhrzeit;Wert[Bft];Status des Werts
13.12.1993;07:00:00;---;Ungeprüft
13.12.1993;10:00:00;---;Ungeprüft
13.12.1993;16:00:00;---;Ungeprüft
13.12.1993;22:00:00;---;Ungeprüft
14.12.1993;07:00:00;---;Ungeprüft
14.12.1993;10:00:00;---;Ungeprüft
14.12.1993;16:00:00;---;Ungeprüft
14.12.1993;22:00:00;---;Ungeprüft
15.12.1993;07:00:00;---;Ungeprüft
15.12.1993;10:00:00;---;Ungeprüft
15.12.1993;16:00:00;---;Ungeprüft
15.12.1993;22:00:00;---;Ungeprüft
16.12.1993;07:00:00;---;Ungeprüft
16.12.1993;10:00:00;---;Ungeprüft
16.12.1993;16:00:00;---;Ungeprüft
16.12.1993;22:00:00;---;Ungeprüft
17.12.1993;07:00:00;2;Ungeprüft
17.12.1993;10:00:00;2;Ungeprüft
17.12.1993;16:00:00;3;Ungeprüft
17.12.1993;22:00:00;3;Ungeprüft
18.12.1993;07:00:00;---;Ungeprüft
18.12.1993;10:00:00;---;Ungeprüft
18.12.1993;16:00:00;---;Ungeprüft
18.12.1993;22:00:00;---;Ungeprüft
19.12.1993;07:00:00;---;Ungeprüft
19.12.1993;10:00:00;---;Ungeprüft
19.12.1993;16:00:00;---;Ungeprüft
19.12.1993;22:00:00;---;Ungeprüft
20.12.1993;07:00:00;---;Ungeprüft
20.12.1993;10:00:00;---;Ungeprüft
20.12.1993;16:00:00;---;Ungeprüft
20.12.1993;22:00:00;---;Ungeprüft
21.12.1993;07:00:00;2;Ungeprüft
21.12.1993;10:00:00;2;Ungeprüft
21.12.1993;16:00:00;1;Ungeprüft
21.12.1993;22:00:00;3;Ungeprüft
22.12.1993;07:00:00;---;Ungeprüft
22.12.1993;10:00:00;---;Ungeprüft
22.12.1993;16:00:00;---;Ungeprüft
22.12.1993;22:00:00;---;Ungeprüft
23.12.1993;07:00:00;---;Ungeprüft
23.12.1993;10:00:00;---;Ungeprüft
23.12.1993;16:00:00;---;Ungeprüft
23.12.1993;22:00:00;---;Ungeprüft
24.12.1993;07:00:00;---;Ungeprüft
24.12.1993;10:00:00;---;Ungeprüft
24.12.1993;16:00:00;---;Ungeprüft
24.12.1993;22:00:00;---;Ungeprüft
25.12.1993;07:00:00;---;Ungeprüft
25.12.1993;10:00:00;---;Ungeprüft
25.12.1993;16:00:00;---;Ungeprüft
25.12.1993;22:00:00;---;Ungeprüft
26.12.1993;07:00:00;1;Ungeprüft
26.12.1993;10:00:00;3;Ungeprüft
26.12.1993;16:00:00;1;Ungeprüft
26.12.1993;22:00:00;3;Ungeprüft
27.12.1993;07:00:00;---;Ungeprüft
27.12.1993;10:00:00;---;Ungeprüft
27.12.1993;16:00:00;---;Ungeprüft
27.12.1993;22:00:00;---;Ungeprüft
28.12.1993;07:00:00;---;Ungeprüft
28.12.1993;10:00:00;---;Ungeprüft
28.12.1993;16:00:00;---;Ungeprüft
28.12.1993;22:00:00;---;Ungeprüft
29.12.1993;07:00:00;---;Ungeprüft
29.12.1993;10:00:00;---;Ungeprüft
29.12.1993;16:00:00;---;Ungeprüft
29.12.1993;22:00:00;---;Ungeprüft
30.12.1993;07:00:00;---;Ungeprüft
30.12.1993;10:00:00;---;Ungeprüft
30.12.1993;16:00:00;---;Ungeprüft
30.12.1993;22:00:00;---;Ungeprüft
31.12.1993;07:00:00;4;Ungeprüft
31.12.1993;10:00:00;4;Ungeprüft
31.12.1993;16:00:00;4;Ungeprüft
31.12.1993;22:00:00;2;Ungeprüft
01.01.1994;07:00:00;---;Ungeprüft
01.01.1994;10:00:00;---;Ungeprüft
01.01.1994;16:00:00;---;Ungeprüft
01.01.1994;22:00:00;---;Ungeprüft
02.01.1994;07:00:00;1;Ungeprüft
02.01.1994;10:00:00;2;Ungeprüft
02.01.1994;16:00:00;2;Ungeprüft
02.01.1994;22:00:00;3;Ungeprüft
03.01.1994;07:00:00;2;Ungeprüft
03.01.1994;10:00:00;4;Ungeprüft
03.01.1994;16:00:00;3;Ungeprüft
03.01.1994;22:00:00;2;Ungeprüft
04.01.1994;07:00:00;---;Ungeprüft
04.01.1994;10:00:00;---;Ungeprüft
04.01.1994;16:00:00;---;Ungeprüft
04.01.1994;22:00:00;---;Ungeprüft
05.01.1994;07:00:00;---;Ungeprüft
05.01.1994;10:00:00;---;Ungeprüft
05.01.1994;16:00:00;---;Ungeprüft
05.01.1994;22:00:00;---;Ungeprüft
06.01.1994;07:00:00;---;Ungeprüft
06.01.1994;10:00:00;---;Ungeprüft
06.01.1994;16:00:00;---;Ungeprüft
06.01.1994;22:00:00;---;Ungeprüft
07.01.1994;07:00:00;---;Ungeprüft
07.01.1994;10:00:00;---;Ungeprüft
07.01.1994;16:00:00;---;Ungeprüft
07.01.1994;22:00:00;---;Ungeprüft
08.01.1994;07:00:00;---;Ungeprüft
08.01.1994;10:00:00;---;Ungeprüft
08.01.1994;16:00:00;---;Ungeprüft
08.01.1994;22:00:00;---;Ungeprüft
09.01.1994;07:00:00;---;Ungeprüft
