Datum;;Ergebnis kuenstl. Lawinenausloesung;Versuche kuenstl. Lawinenausloesung;Wetter zur Zeit der Beobachtung;Windrichtung;Windverfrachtung;WG ohne Verfrachtung;WG mit Verfrachtung;Windgeschwindigkeit;Wetter vom Vortag;Temperaturverlauf der letzen 24 h;Schneetemperatur;Lufttemperatur TM;Lufttemperatur TA;Windstaerke zur Zeit d. Beobachtung;Windstaerke vergangene Nacht;Windstaerke vom Vortag Nachmittag;Windstaerke vom Vortag Vormittag;Oberflaechencharakter Schneedecke;Oberflaechenform Schneedecke;Reif;Windrichtung zur Zeit d. Beobachtung;Windrichtung vergangene Nacht;Windrichtung vom Vortag Nachmittag;Windrichtung vom Vortag Vormittag;Einsinktiefe ABS;Einsinktiefe;Europ. Lawinengefahrenskala;Tourengelaende: Art zu erwartender Lawine;Europ. Lawinengefahrenskala;Strasse: Art der zu erwartenden Lawinen;Gelaendebeschaffenheit im Anrissgebiet;Groesse u. Zahl der Lawinen;Meereshoehe des Anrissgebietes;Exposition des Anrissgebietes;Lawinenart;Schneehoehe;Neuschneehoehe;
13.12.1993;;0,000;0,000;2,000;360,00;1;4;---;4,00;8,000;5,000;-3,0;-1,0;-1,0;4,000;4,000;3,000;4,000;9,000;6,000;0;360,000;180,000;135,000;45,000;6,00;32,000;3,000;7,000;2,000;7,000;0,000;0,000;0,000;0,000;0,000;38;2;
14.12.1993;;0,000;0,000;3,000;225,00;0;3;---;3,00;0,000;4,000;-2,0;6,0;---;0,000;5,000;2,000;3,000;6,000;6,000;0;---;225,000;225,000;225,000;36,00;2,000;3,000;7,000;2,000;7,000;2,000;3,000;4,000;8,000;3,000;38;0;
15.12.1993;;0,000;0,000;71,000;225,00;0;2;---;2,00;7,000;3,000;-4,0;0,0;-8,0;1,000;1,000;1,000;2,000;9,000;1,000;0;315,000;180,000;360,000;315,000;37,00;23,000;3,000;7,000;3,000;4,000;---;---;---;---;---;60;20;
16.12.1993;;0,000;0,000;2,000;225,00;0;5;---;5,00;0,000;2,000;-4,0;-2,0;-5,0;2,000;4,000;4,000;1,000;6,000;6,000;0;45,000;180,000;180,000;270,000;43,00;0,000;3,000;7,000;3,000;7,000;0,000;0,000;0,000;0,000;0,000;43;0;
17.12.1993;;0,000;0,000;2,000;---;0;0;---;0,00;2,000;3,000;-5,0;---;-8,0;2,000;3,000;3,000;2,000;9,000;1,000;0;135,000;180,000;135,000;270,000;38,00;8,000;3,000;7,000;3,000;7,000;0,000;0,000;0,000;0,000;0,000;46;8;
18.12.1993;;0,000;0,000;2,000;315,00;1;2;---;2,00;8,000;5,000;-1,0;-1,0;-1,0;2,000;3,000;3,000;2,000;8,000;3,000;0;135,000;45,000;45,000;180,000;38,00;9,000;3,000;7,000;3,000;2,000;0,000;0,000;0,000;0,000;0,000;47;10;
19.12.1993;;0,000;0,000;45,000;360,00;0;1;---;1,00;0,000;5,000;-1,0;-4,0;0,0;2,000;2,000;2,000;2,000;8,000;3,000;0;180,000;180,000;180,000;180,000;45,00;2,000;3,000;7,000;3,000;2,000;0,000;0,000;0,000;0,000;0,000;47;0;
20.12.1993;;0,000;0,000;2,000;180,00;0;1;---;1,00;6,000;4,000;-1,0;6,0;5,0;1,000;3,000;3,000;2,000;7,000;3,000;0;270,000;135,000;180,000;180,000;40,00;7,000;4,000;5,000;4,000;5,000;2,000;5,000;8,000;9,000;8,000;47;0;
21.12.1993;;0,000;0,000;3,000;315,00;0;1;---;1,00;0,000;2,000;-1,0;9,0;6,0;2,000;3,000;3,000;2,000;5,000;8,000;0;180,000;180,000;135,000;225,000;46,00;0,000;4,000;5,000;4,000;5,000;0,000;0,000;0,000;0,000;0,000;46;0;
22.12.1993;;0,000;0,000;37,000;270,00;1;1;---;1,00;8,000;3,000;-5,0;6,0;-11,0;3,000;3,000;1,000;2,000;9,000;6,000;0;45,000;45,000;360,000;360,000;27,00;23,000;3,000;7,000;2,000;7,000;0,000;0,000;0,000;0,000;0,000;50;15;
23.12.1993;;0,000;0,000;1,000;180,00;0;4;---;4,00;1,000;5,000;-5,0;-4,0;-4,0;3,000;4,000;4,000;4,000;9,000;3,000;0;180,000;180,000;135,000;45,000;39,00;10,000;3,000;7,000;2,000;7,000;0,000;0,000;0,000;0,000;0,000;49;0;
24.12.1993;;---;---;1,000;180,00;0;4;---;4,00;1,000;5,000;0,0;-3,0;-4,0;6,000;5,000;1,000;2,000;---;---;---;180,000;225,000;225,000;180,000;---;---;2,000;7,000;2,000;7,000;---;---;---;---;---;44;0;
25.12.1993;;---;---;2,000;45,00;0;2;---;2,00;7,000;3,000;---;-2,0;-11,0;3,000;1,000;3,000;7,000;---;---;---;135,000;180,000;---;180,000;---;---;---;---;---;---;---;---;---;---;---;50;11;
26.12.1993;;0,000;0,000;71,000;270,00;0;2;---;2,00;2,000;3,000;0,0;-9,0;-12,0;1,000;1,000;1,000;3,000;0,000;0,000;0;180,000;225,000;---;135,000;50,00;0,000;2,000;7,000;2,000;7,000;0,000;0,000;0,000;0,000;0,000;50;0;
27.12.1993;;0,000;0,000;2,000;135,00;1;3;---;3,00;8,000;3,000;-6,0;-11,0;-12,0;2,000;3,000;1,000;3,000;9,000;1,000;0;225,000;180,000;225,000;360,000;42,00;33,000;4,000;7,000;4,000;7,000;0,000;0,000;0,000;0,000;0,000;75;5;
28.12.1993;;0,000;0,000;0,000;180,00;0;3;---;3,00;2,000;3,000;-11,0;-10,0;-15,0;2,000;3,000;1,000;1,000;9,000;6,000;0;180,000;270,000;180,000;360,000;45,00;30,000;4,000;7,000;3,000;7,000;2,000;3,000;4,000;4,000;3,000;75;0;
29.12.1993;;0,000;0,000;2,000;135,00;0;---;2;2,00;0,000;4,000;-11,0;-7,0;-9,0;1,000;2,000;1,000;1,000;6,000;6,000;0;270,000;225,000;180,000;180,000;50,00;25,000;3,000;7,000;2,000;7,000;2,000;3,000;4,000;8,000;3,000;75;0;
30.12.1993;;0,000;0,000;73,000;180,00;0;---;2;2,00;0,000;5,000;-5,0;0,0;-1,0;2,000;3,000;2,000;3,000;9,000;1,000;0;315,000;225,000;225,000;270,000;45,00;25,000;3,000;7,000;2,000;5,000;0,000;0,000;0,000;0,000;0,000;70;3;
31.12.1993;;0,000;0,000;3,000;45,00;0;---;3;3,00;0,000;5,000;---;3,0;3,0;4,000;3,000;3,000;2,000;---;---;---;180,000;180,000;180,000;315,000;---;---;3,000;7,000;3,000;5,000;0,000;0,000;0,000;0,000;0,000;70;0;
01.01.1994;;0,000;0,000;37,000;45,00;1;---;3;3,00;1,000;3,000;---;5,0;-4,0;1,000;2,000;4,000;4,000;---;---;---;315,000;315,000;225,000;180,000;---;---;3,000;7,000;2,000;4,000;---;---;---;---;---;75;5;
