incident_id;datum;country_id;region_id;subregion_id;ort;elevation;latitude;longitude;incline;aspect_id;danger_id;n_injured;n_dead;n_uninjured;involved_sum;involved;valid_time;revision;region_name;involved_id;___id;___s
6839;1996-02-18 00:00:00;1;1;165;Jungbrunntobel - ;;47.270005;10.535005;;;;0;0;;;yes;true;1;Tirol;0;T000002R000002;true
7186;2001-03-24 00:00:00;1;1;172;Lüsens - Loipe-Lüsen;;47.115071;11.005071;;;;0;0;;;none;true;1;Tirol;0;T000002R000003;true
7301;2003-01-06 00:00:00;1;1;160;Nordkette - Seegrube;;47.395031;11.260031;;;;0;0;;;none;true;1;Tirol;0;T000002R000004;true
6745;1992-12-12 00:00:00;1;1;160;Hafelekar - Diretissima;2200;47.395;11.26;;6;;1;0;;;yes;true;1;Tirol;2001;T000002R000005;true
6746;1993-01-27 00:00:00;1;1;167;Moostal - Rendlgebiet;2000;47.104665;10.263416;40;7;4;0;2;;;yes;true;1;Tirol;30002;T000002R000006;true
6747;1993-01-31 00:00:00;1;1;172;Hochtennboden - Schigeb. Axamer Lizum;2350;47.174721;11.287931;35;3;4;0;1;;;yes;true;1;Tirol;30001;T000002R000007;true
6748;1993-02-21 00:00:00;1;1;175;Aschau - Spiessnägel;1700;47.359404;12.306106;;2;5;0;1;;;yes;true;1;Tirol;30001;T000002R000008;true
6749;1993-02-21 00:00:00;1;1;158;Neunerköpfle - Usseralpe;1862;47.483574;10.54069;45;8;5;0;1;;;yes;true;1;Tirol;30001;T000002R000009;true
6750;1993-02-21 00:00:00;1;1;163;Untersberg - Scheibenwald;1200;47.56;12.165;;2;;1;0;;;yes;true;1;Tirol;2001;T000002R000010;true
6751;1993-02-23 00:00:00;1;1;172;Birgitzalm - Zache Seite;1950;47.115;11.005;40;3;;2;0;;;yes;true;1;Tirol;2002;T000002R000011;true
6752;1993-02-25 00:00:00;1;1;175;Hochetz - Bichlalm;1700;47.39;12.24;45;7;;2;0;;;yes;true;1;Tirol;2002;T000002R000012;true
6753;1993-02-27 00:00:00;1;1;160;Rumer Spitze - ;2350;47.395001;11.260001;;5;;1;0;;;yes;true;1;Tirol;2001;T000002R000013;true
6754;1993-02-27 00:00:00;1;1;173;Studelalm - Rote Wand Osthang;2000;47.235;11.645;;3;;0;0;;;yes;true;1;Tirol;0;T000002R000014;true
6755;1993-03-07 00:00:00;1;1;160;Leutascher Landstraße - ;;47.395002;11.260002;;;;0;0;;;none;true;1;Tirol;0;T000002R000015;true
6756;1993-03-10 00:00:00;1;1;173;Scheibenspitze - ;2300;47.106952;11.57174;35;1;4;0;1;;;yes;true;1;Tirol;30001;T000002R000016;true
6757;1993-03-12 00:00:00;1;1;173;Marchkopf - ;2300;47.235001;11.645001;50;2;;1;0;;;yes;true;1;Tirol;2001;T000002R000017;true
